NGI ID	User ID	Mreads	≥Q30
P26207_543	1432	39.20	85.82
P26207_544	594	30.23	86.96
P26207_545	1444	41.23	87.91
P26207_546	1016	36.95	87.87
P26207_547	1105	39.07	87.29
P26207_548	1406	31.73	87.20
P26207_549	1101	33.22	86.14
P26207_550	831	40.19	86.85
P26207_551	857	38.07	87.82
P26207_552	861	39.08	86.89
P26207_553	1440	32.18	87.40
P26207_554	1029	27.60	86.31
P26207_555	1120	38.69	87.62
P26207_556	1036	45.35	88.03
P26207_557	439	33.12	87.05
P26207_558	1109	37.92	87.55
P26207_559	1152	36.73	87.59
P26207_560	1110	38.50	78.24
P26207_561	1123	33.36	87.21
P26207_562	1437	29.36	88.03
P26207_563	1379	36.70	85.88
P26207_564	1418	39.94	87.88
P26207_565	1037	20.63	87.92
P26207_566	1028	21.68	84.55
P26207_567	1018	29.49	86.91
P26207_568	869	25.27	86.90
P26207_569	1419	20.86	87.59
P26207_570	1111	23.48	87.28
P26207_571	1389	30.13	86.05
P26207_572	1017	19.56	86.45
P26207_573	1428	25.64	87.02
P26207_574	956	25.16	87.63
P26207_575	938	24.36	86.43
P26207_576	1380	27.83	87.72
P26207_577	1403	23.23	86.55
P26207_578	1174	21.53	86.92
P26207_579	1371	18.50	86.86
P26207_580	1179	21.96	86.76
P26207_581	1176	19.81	86.60
P26207_582	1150	21.66	84.99
P26207_583	1438	26.21	87.35
P26207_584	1436	21.09	87.13
P26207_585	1001	27.59	86.99
P26207_586	945	28.99	86.41
P26207_587	1170	21.84	86.95
P26207_588	1388	20.88	87.38
P26207_589	397L	30.05	87.60
P26207_590	397N	21.12	86.39
P26207_591	397O	32.75	87.65
P26207_592	397P	25.89	87.60
P26207_593	397A	22.56	87.42
P26207_594	IT6	24.24	87.26
